Reporte de valorizado;Fecha Corte;8/09/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Codigo Articulo;Descripcion;Nombre Comercial;Cod Barras;Invima;CUM;CODIGO ATC;Unidades;Grupo;Sub Grupo;Familia;cod Bod;Bodega;ID Sistema;Estado;Presentacion;Embalaje;Principio Activo;Forma Farmaceutica;Concentracion;Unidad Medida Rips;Codigo Parametro contable;Descripcion Parametro contable;% IVA;Alto Costo;Cadena de Frio;Categoria;Precio Maximo;Precio Maximo VMR;Controlado;Costo Promedio;Ult Costo Compras;Valorizado Total;Mercancia en Consignación
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;30;NUTREO;General;General;348;Disp. MENNAR LA VEGA 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;12539,358;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;150;NUTREO;General;General;352;Disp. MENNAR SOTARA 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;62696,79;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;30;NUTREO;General;General;357;Disp. MENNAR LA SIERRA 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;12539,358;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;100;NUTREO;General;General;365;Disp. MENNAR GUACHENE 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;41797,86;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;60;NUTREO;General;General;369;Disp. MENNAR SILVIA 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;25078,716;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;60;NUTREO;General;General;373;Disp. MENNAR SUAREZ 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;25078,716;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;30;NUTREO;General;General;381;Disp. MENNAR CAJIBIO 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;12539,358;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;30;NUTREO;General;General;385;Disp. MENNAR MERCADERES 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;12539,358;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;60;NUTREO;General;General;389;DISP. MENNAR TOTORO 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;25078,716;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;30;NUTREO;General;General;404;DISP. MENNAR BALBOA 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;12539,358;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;60;NUTREO;General;General;409;DISP. MENNAR BUENOS AIRES 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;25078,716;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;30;NUTREO;General;General;413;DISP. MENNAR FLORENCIA 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;12539,358;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;120;NUTREO;General;General;417;DISP. MENNAR INZA 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;50157,432;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;60;NUTREO;General;General;421;DISP. MENNAR JAMBALO 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;25078,716;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;180;NUTREO;General;General;429;DISP. MENNAR PAEZ 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;75236,148;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;30;NUTREO;General;General;437;DISP. MENNAR SAN SEBASTIAN 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;12539,358;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;60;NUTREO;General;General;445;Disp. MENNAR SANTA ROSA 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;25078,716;NO
